Survey Name,"compassion",Install Id,"813fccff-36e9-415f-a07b-b55f56d0776f"
Author,"Ilaria Colpizzi"
Subject ID,"gi_sg_1996_04_09_655_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-03-31T20:03:02+0200,2022-03-31T20:04:35+0200,3,5,3,2,2,3,4,6,3,5,5,3,5
,,2022-03-31T20:03:24+0200,2022-03-31T20:04:33+0200,2022-03-31T20:03:43+0200,2022-03-31T20:03:49+0200,2022-03-31T20:04:22+0200,2022-03-31T20:04:30+0200,2022-03-31T20:03:55+0200,2022-03-31T20:03:39+0200,2022-03-31T20:04:03+0200,2022-03-31T20:04:07+0200,2022-03-31T20:03:32+0200,2022-03-31T20:04:18+0200,2022-03-31T20:03:59+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-01T07:15:26+0200,2022-04-01T07:16:41+0200,2,5,4,3,2,3,3,6,3,5,4,3,5
,,2022-04-01T07:15:42+0200,2022-04-01T07:16:33+0200,2022-04-01T07:16:07+0200,2022-04-01T07:16:26+0200,2022-04-01T07:16:18+0200,2022-04-01T07:16:04+0200,2022-04-01T07:16:30+0200,2022-04-01T07:16:00+0200,2022-04-01T07:16:15+0200,2022-04-01T07:16:22+0200,2022-04-01T07:15:49+0200,2022-04-01T07:16:37+0200,2022-04-01T07:15:53+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:07:42+0200,2022-04-02T10:09:26+0200,2,1,3,4,3,5,4,6,3,4,5,4,3
,,2022-04-02T10:08:14+0200,2022-04-02T10:08:21+0200,2022-04-02T10:08:41+0200,2022-04-02T10:08:53+0200,2022-04-02T10:09:24+0200,2022-04-02T10:08:49+0200,2022-04-02T10:09:19+0200,2022-04-02T10:09:14+0200,2022-04-02T10:08:32+0200,2022-04-02T10:08:38+0200,2022-04-02T10:09:03+0200,2022-04-02T10:08:27+0200,2022-04-02T10:09:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:27:52+0200,2022-04-02T15:29:41+0200,2,2,2,3,4,6,2,6,3,3,5,4,4
,,2022-04-02T15:28:32+0200,2022-04-02T15:28:41+0200,2022-04-02T15:28:55+0200,2022-04-02T15:29:27+0200,2022-04-02T15:29:14+0200,2022-04-02T15:28:38+0200,2022-04-02T15:29:11+0200,2022-04-02T15:29:32+0200,2022-04-02T15:29:06+0200,2022-04-02T15:29:24+0200,2022-04-02T15:29:39+0200,2022-04-02T15:29:01+0200,2022-04-02T15:28:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:16:25+0200,2022-04-02T17:17:32+0200,4,2,2,5,4,5,2,6,2,3,5,5,5
,,2022-04-02T17:16:33+0200,2022-04-02T17:16:58+0200,2022-04-02T17:17:00+0200,2022-04-02T17:16:47+0200,2022-04-02T17:17:10+0200,2022-04-02T17:17:14+0200,2022-04-02T17:17:24+0200,2022-04-02T17:17:17+0200,2022-04-02T17:17:28+0200,2022-04-02T17:17:07+0200,2022-04-02T17:16:41+0200,2022-04-02T17:17:04+0200,2022-04-02T17:16:54+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:05:21+0200,2022-04-02T19:06:31+0200,3,3,4,3,3,3,3,6,3,3,5,4,4
,,2022-04-02T19:05:25+0200,2022-04-02T19:06:08+0200,2022-04-02T19:05:52+0200,2022-04-02T19:05:59+0200,2022-04-02T19:06:01+0200,2022-04-02T19:06:30+0200,2022-04-02T19:05:44+0200,2022-04-02T19:06:19+0200,2022-04-02T19:06:05+0200,2022-04-02T19:06:15+0200,2022-04-02T19:05:40+0200,2022-04-02T19:06:27+0200,2022-04-02T19:06:24+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:24:00+0200,2022-04-09T10:25:38+0200,5,2,2,4,4,5,3,4,3,3,5,4,4
,,2022-04-09T10:24:07+0200,2022-04-09T10:25:20+0200,2022-04-09T10:25:05+0200,2022-04-09T10:24:28+0200,2022-04-09T10:25:02+0200,2022-04-09T10:25:24+0200,2022-04-09T10:24:21+0200,2022-04-09T10:24:40+0200,2022-04-09T10:24:33+0200,2022-04-09T10:24:54+0200,2022-04-09T10:24:15+0200,2022-04-09T10:25:35+0200,2022-04-09T10:24:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:22:10+0200,2022-04-23T10:22:49+0200,3,2,3,3,3,3,3,4,3,4,4,3,3
,,2022-04-23T10:22:21+0200,2022-04-23T10:22:29+0200,2022-04-23T10:22:40+0200,2022-04-23T10:22:43+0200,2022-04-23T10:22:44+0200,2022-04-23T10:22:46+0200,2022-04-23T10:22:31+0200,2022-04-23T10:22:37+0200,2022-04-23T10:22:36+0200,2022-04-23T10:22:34+0200,2022-04-23T10:22:28+0200,2022-04-23T10:22:42+0200,2022-04-23T10:22:32+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T19:09:22+0200,2022-04-23T19:09:39+0200,3,3,3,3,3,3,3,2,4,4,4,4,4
,,2022-04-23T19:09:24+0200,2022-04-23T19:09:37+0200,2022-04-23T19:09:33+0200,2022-04-23T19:09:38+0200,2022-04-23T19:09:34+0200,2022-04-23T19:09:35+0200,2022-04-23T19:09:28+0200,2022-04-23T19:09:29+0200,2022-04-23T19:09:32+0200,2022-04-23T19:09:36+0200,2022-04-23T19:09:25+0200,2022-04-23T19:09:27+0200,2022-04-23T19:09:30+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T21:19:31+0200,2022-04-23T21:19:50+0200,3,3,3,3,3,4,3,3,3,4,3,3,3
,,2022-04-23T21:19:35+0200,2022-04-23T21:19:43+0200,2022-04-23T21:19:42+0200,2022-04-23T21:19:38+0200,2022-04-23T21:19:45+0200,2022-04-23T21:19:47+0200,2022-04-23T21:19:43+0200,2022-04-23T21:19:41+0200,2022-04-23T21:19:49+0200,2022-04-23T21:19:37+0200,2022-04-23T21:19:45+0200,2022-04-23T21:19:39+0200,2022-04-23T21:19:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T10:26:56+0200,2022-05-07T10:27:18+0200,2,3,3,3,3,3,3,3,4,3,4,3,4
,,2022-05-07T10:27:00+0200,2022-05-07T10:27:11+0200,2022-05-07T10:27:12+0200,2022-05-07T10:27:07+0200,2022-05-07T10:27:16+0200,2022-05-07T10:27:15+0200,2022-05-07T10:27:09+0200,2022-05-07T10:27:06+0200,2022-05-07T10:27:10+0200,2022-05-07T10:27:16+0200,2022-05-07T10:27:07+0200,2022-05-07T10:27:09+0200,2022-05-07T10:27:14+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T17:07:35+0200,2022-05-07T17:07:59+0200,3,3,3,3,3,3,3,4,3,3,3,3,4
,,2022-05-07T17:07:38+0200,2022-05-07T17:07:57+0200,2022-05-07T17:07:56+0200,2022-05-07T17:07:47+0200,2022-05-07T17:07:49+0200,2022-05-07T17:07:55+0200,2022-05-07T17:07:45+0200,2022-05-07T17:07:48+0200,2022-05-07T17:07:58+0200,2022-05-07T17:07:51+0200,2022-05-07T17:07:50+0200,2022-05-07T17:07:54+0200,2022-05-07T17:07:52+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T10:24:44+0200,2022-05-14T10:25:02+0200,3,3,3,3,3,4,3,3,3,3,4,4,3
,,2022-05-14T10:24:47+0200,2022-05-14T10:24:49+0200,2022-05-14T10:24:58+0200,2022-05-14T10:24:57+0200,2022-05-14T10:24:50+0200,2022-05-14T10:24:52+0200,2022-05-14T10:24:53+0200,2022-05-14T10:24:54+0200,2022-05-14T10:24:51+0200,2022-05-14T10:24:59+0200,2022-05-14T10:24:56+0200,2022-05-14T10:25:00+0200,2022-05-14T10:25:01+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T15:02:54+0200,2022-05-14T15:03:37+0200,3,3,3,3,3,3,4,3,3,4,4,4,3
,,2022-05-14T15:02:57+0200,2022-05-14T15:03:20+0200,2022-05-14T15:03:34+0200,2022-05-14T15:03:02+0200,2022-05-14T15:03:04+0200,2022-05-14T15:03:16+0200,2022-05-14T15:03:13+0200,2022-05-14T15:03:06+0200,2022-05-14T15:03:11+0200,2022-05-14T15:03:08+0200,2022-05-14T15:03:00+0200,2022-05-14T15:03:18+0200,2022-05-14T15:02:58+0200
